"","cod_secao","nm_secao","cod_divisao","nm_divisao","cod_grupo","nm_grupo","cod_classe","nm_classe","cod_cnae","nm_cnae"
"1","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.11-3","Cultivo de cereais","0111301","Cultivo de arroz"
"2","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.11-3","Cultivo de cereais","0111302","Cultivo de milho"
"3","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.11-3","Cultivo de cereais","0111303","Cultivo de trigo"
"4","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.11-3","Cultivo de cereais","0111399","Cultivo de outros cereais não especificados anteriormente"
"5","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.12-1","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112101","Cultivo de algodão herbáceo"
"6","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.12-1","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112102","Cultivo de juta"
"7","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.12-1","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112199","Cultivo de outras fibras de lavoura temporária não especificadas anteriormente"
"8","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.13-0","Cultivo de cana-de-açúcar","0113000","Cultivo de cana-de-açúcar"
"9","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.14-8","Cultivo de fumo","0114800","Cultivo de fumo"
"10","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.15-6","Cultivo de soja","0115600","Cultivo de soja"
"11","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.16-4","Cultivo de oleaginosas de lavoura temporária exceto soja","0116401","Cultivo de amendoim"
"12","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.16-4","Cultivo de oleaginosas de lavoura temporária exceto soja","0116402","Cultivo de girassol"
"13","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.16-4","Cultivo de oleaginosas de lavoura temporária exceto soja","0116403","Cultivo de mamona"
"14","A","AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA","01","AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS","01.1","Produção de lavouras temporárias","01.16-4","Cultivo de oleaginosas de lavoura temporária exceto soja","0116499","Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente"
