Cod_setor,domi2V050,domi2V051,domi2V052,domi2V053,domi2V054,domi2V055,domi2V056,domi2V057,domi2V058,domi2V059
420005105000001,16,68,72,48,21,5,3,1,0,0
420005105000002,5,47,25,23,12,0,1,1,0,0
420005105000003,20,31,32,29,12,7,4,3,0,1
420005105000004,9,40,37,36,13,7,2,0,0,0
420005105000005,14,78,54,40,18,6,3,0,1,1
420010105000001,42,86,130,94,38,25,9,4,3,1
420010105000002,25,50,73,49,36,19,6,2,0,0
420010105000003,33,72,106,77,27,10,4,2,0,0
420010105000004,45,87,87,52,31,5,1,1,1,0
420010105000005,41,65,81,77,15,8,1,1,1,0
420010105000006,14,28,16,20,20,4,1,1,0,0
420010105000007,20,53,72,42,27,16,4,3,0,0
420010105000008,19,28,31,25,7,5,0,0,0,0
420010105000009,24,74,87,79,35,4,3,1,0,0
420010105000010,21,35,55,47,20,5,2,2,1,0
420010105000011,2,7,10,10,3,0,0,0,0,0
420010105000012,2,2,2,3,2,0,0,0,0,0
420010105000013,1,1,4,5,0,0,0,0,0,0
420010105000014,3,7,14,16,3,3,1,1,1,0
420010105000015,1,1,6,3,1,1,0,0,0,0
420010105000016,7,9,13,18,10,4,2,0,0,0
420010105000017,2,9,12,12,10,4,0,0,1,0
420010105000018,17,46,42,55,31,9,4,0,1,2
420010105000019,1,4,7,12,7,3,2,1,0,0
420010105000020,1,22,25,26,7,1,0,2,0,0
420010105000021,12,34,57,30,23,7,2,3,0,0
420010105000022,12,20,23,28,5,7,5,0,0,0
420010105000023,8,9,22,17,11,8,2,2,0,0
420010105000024,2,8,19,8,9,4,0,0,0,0
420010105000025,10,16,28,23,9,10,7,1,0,2
420010105000026,6,17,23,16,7,2,3,1,2,0
420010105000027,1,2,2,1,0,0,0,0,0,0
420010105000028,5,16,25,26,12,6,1,2,0,1
420010105000029,7,15,15,18,10,0,3,0,1,0
420010105000030,3,9,6,8,5,4,1,0,0,0
420010105000031,3,7,15,15,9,6,2,1,0,0
420010105000032,6,14,23,16,7,4,1,2,0,1
420010105000033,6,7,7,12,13,6,3,0,1,0
420010105000034,6,25,14,17,17,10,7,0,0,1
420010105000035,4,14,21,19,15,9,2,3,0,2
420010105000036,2,3,11,5,7,6,2,1,1,1
420010105000037,6,27,28,38,23,12,4,2,1,0
420010105000038,8,10,17,28,19,12,2,0,0,0
420010105000039,4,9,14,12,8,2,0,1,0,0
420010105000040,11,36,34,25,12,2,2,1,0,0
420010105000041,1,1,4,2,1,0,0,0,0,0
420010105000042,0,0,0,0,0,0,0,0,0,0
420010105000043,1,1,1,1,0,1,0,0,0,0
420010105000044,0,0,0,0,0,0,0,0,0,0
420010105000046,3,0,3,2,3,2,2,2,0,1
420010105000048,1,1,4,3,1,0,0,0,0,0
420010105000050,0,0,0,0,0,0,0,0,0,0
420010105000052,0,0,0,0,0,0,0,0,0,0
420010105000053,3,2,2,1,2,0,0,0,0,0
420010105000054,7,35,41,48,33,17,8,6,4,2
420010105000055,0,3,1,0,0,1,0,0,0,0
420020005000001,13,47,47,30,16,8,1,0,0,0
420020005000002,23,70,63,54,22,9,2,1,0,0
420020005000003,22,51,59,36,15,5,2,1,1,0
420020005000004,14,48,48,36,13,4,0,1,0,0
420020005000005,10,23,21,16,10,3,1,0,0,0
420020005000009,18,59,48,50,24,10,0,0,0,0
420020005000010,28,51,58,48,18,5,3,1,1,0
420020005000011,19,68,76,62,19,5,5,0,1,0
420020005000012,13,45,58,35,21,13,1,0,0,0
420020005000013,10,30,38,35,19,2,3,3,0,0
420020005000014,13,43,38,30,18,4,1,1,0,0
420020005000015,12,36,51,47,17,5,0,2,0,0
420020005000016,10,28,24,22,11,3,0,0,0,0
420020005000017,7,38,44,33,16,7,4,0,1,0
420020005000018,11,36,41,24,11,5,2,1,0,0
420020005000019,14,42,48,33,12,2,4,1,1,0
420020005000020,14,26,36,22,10,3,1,0,1,0
420020005000021,7,34,29,33,17,7,3,1,0,0
420030905000001,8,34,26,15,12,0,0,0,0,0
420030905000002,15,25,45,44,8,0,0,0,0,1
420030905000003,2,1,3,1,0,0,0,0,0,0
420030905000004,1,6,4,3,0,1,0,0,0,0
420030905000005,0,2,2,3,2,0,0,1,0,0
420030905000006,0,0,0,0,0,0,0,0,0,0
420030905000007,6,19,23,23,13,3,3,3,0,0
420030905000008,12,45,60,43,20,7,1,1,0,1
420030905000009,10,22,33,23,12,5,0,0,0,0
420030905000010,8,30,24,35,14,5,1,0,0,0
420030905000011,7,24,27,36,11,4,0,1,0,1
