Cod_setor,domi1V001,domi1V002,domi1V003,domi1V004,domi1V005,domi1V006,domi1V007,domi1V008,domi1V009,domi1V010,domi1V011
420005105000001,724,724,722,0,2,636,0,64,5,19,0
420005105000002,341,341,341,0,0,288,5,17,10,19,2
420005105000003,459,458,458,0,0,385,14,0,47,10,2
420005105000004,471,465,465,0,0,420,1,9,14,15,6
420005105000005,658,658,658,0,0,540,3,16,24,75,0
420010105000001,1453,1453,1450,0,2,1016,69,260,21,87,0
420010105000002,892,892,892,0,0,590,47,181,0,74,0
420010105000003,1042,1042,1032,0,10,739,88,179,1,35,0
420010105000004,897,897,704,0,193,554,61,253,15,14,0
420010105000005,882,869,642,5,217,512,64,256,11,26,0
420010105000006,337,337,333,0,4,267,4,50,9,7,0
420010105000007,793,793,790,0,3,600,49,114,6,24,0
420010105000008,333,333,260,0,73,231,30,60,7,5,0
420010105000009,977,977,950,0,27,672,59,232,9,5,0
420010105000010,613,613,537,2,74,352,34,184,7,36,0
420010105000011,108,101,101,0,0,77,3,8,7,6,0
420010105000012,34,34,34,0,0,27,1,0,0,6,0
420010105000013,35,35,35,0,0,0,0,0,32,3,0
420010105000014,180,180,180,0,0,90,0,21,64,5,0
420010105000015,44,44,44,0,0,16,0,0,28,0,0
420010105000016,224,224,224,0,0,17,0,0,193,6,8
420010105000017,187,187,187,0,0,110,0,0,74,3,0
420010105000018,722,722,722,0,0,457,0,7,229,29,0
420010105000019,153,153,153,0,0,8,0,0,141,4,0
420010105000020,281,281,281,0,0,242,18,0,16,5,0
420010105000021,578,566,566,0,0,369,18,10,123,46,0
420010105000022,336,335,335,0,0,334,0,0,0,1,0
420010105000023,293,293,293,0,0,291,2,0,0,0,0
420010105000024,179,176,176,0,0,138,38,0,0,0,0
420010105000025,408,401,401,0,0,365,12,0,24,0,0
420010105000026,267,267,267,0,0,192,9,0,0,66,0
420010105000027,15,15,15,0,0,11,0,0,4,0,0
420010105000028,359,347,347,0,0,315,5,5,3,14,5
420010105000029,234,234,234,0,0,161,46,0,0,27,0
420010105000030,127,127,127,0,0,123,2,0,0,0,2
420010105000031,225,225,225,0,0,225,0,0,0,0,0
420010105000032,259,259,259,0,0,151,16,0,3,89,0
420010105000033,221,220,220,0,0,209,0,0,0,6,5
420010105000034,370,370,370,0,0,360,0,0,1,9,0
420010105000035,358,358,358,0,0,353,0,0,5,0,0
420010105000036,173,173,173,0,0,0,0,0,0,173,0
420010105000037,536,536,536,0,0,457,62,0,13,0,4
420010105000038,372,372,372,0,0,349,22,0,0,0,1
420010105000039,172,172,172,0,0,84,24,0,46,18,0
420010105000040,383,379,379,0,0,311,0,0,47,21,0
420010105000041,28,28,28,0,0,14,0,0,14,0,0
420010105000042,6,0,0,0,0,0,0,0,0,0,0
420010105000043,16,16,16,0,0,0,0,0,16,0,0
420010105000044,5,0,0,0,0,0,0,0,0,0,0
420010105000046,88,88,51,0,0,54,14,0,1,19,0
420010105000048,32,32,32,0,0,18,0,0,10,4,0
420010105000050,2,0,0,0,0,0,0,0,0,0,0
420010105000052,4,0,0,0,0,0,0,0,0,0,0
420010105000053,27,27,27,0,0,19,0,0,8,0,0
420010105000054,825,819,693,33,0,496,252,34,0,30,7
420010105000055,15,15,15,0,0,7,0,0,6,2,0
420020005000001,504,503,464,5,34,264,35,171,2,31,0
420020005000002,754,754,658,0,96,422,64,162,42,64,0
420020005000003,582,581,580,1,0,410,26,93,27,25,0
420020005000004,495,495,456,0,35,319,51,97,6,22,0
420020005000005,258,258,257,0,1,144,2,94,11,7,0
420020005000009,663,660,651,0,9,396,57,145,9,53,0
420020005000010,654,654,640,0,14,468,2,148,9,24,3
420020005000011,800,800,789,0,11,467,46,184,5,96,2
420020005000012,612,607,607,0,0,441,34,22,67,43,0
420020005000013,476,476,472,4,0,304,66,41,22,43,0
420020005000014,462,462,462,0,0,293,45,32,48,44,0
420020005000015,556,556,556,0,0,450,41,18,6,41,0
420020005000016,299,299,299,0,0,220,36,15,18,10,0
420020005000017,509,506,494,12,0,387,7,30,65,17,0
420020005000018,409,409,358,0,31,195,29,97,0,88,0
420020005000019,494,491,486,0,5,329,27,78,38,19,0
420020005000020,346,346,325,0,21,234,19,64,0,29,0
420020005000021,450,450,450,0,0,337,33,41,16,23,0
420030905000001,274,274,236,0,38,222,2,50,0,0,0
420030905000002,426,426,359,0,62,280,13,110,12,11,0
420030905000003,17,17,17,0,0,17,0,0,0,0,0
420030905000004,43,43,43,0,0,43,0,0,0,0,0
420030905000005,40,40,40,0,0,2,6,13,0,19,0
420030905000006,16,0,0,0,0,0,0,0,0,0,0
420030905000007,339,333,333,0,0,194,20,36,9,74,0
420030905000008,621,621,621,0,0,426,45,72,29,49,0
420030905000009,335,335,335,0,0,182,38,48,21,46,0
420030905000010,387,387,387,0,0,291,33,18,32,11,2
420030905000011,378,378,378,0,0,272,31,39,19,17,0
420030905000012,515,515,515,0,0,356,57,37,27,38,0
420030905000013,176,176,176,0,0,98,32,22,13,11,0
420030905000014,31,31,31,0,0,31,0,0,0,0,0
420030905000015,18,18,18,0,0,16,0,2,0,0,0
420030905000017,6,0,0,0,0,0,0,0,0,0,0
420030905000018,38,0,0,0,0,0,0,0,0,0,0
420030905000019,66,66,66,0,0,55,3,8,0,0,0
420030905000020,171,171,162,3,6,135,0,30,0,6,0
420030905000021,5,0,0,0,0,0,0,0,0,0,0
420030905000022,14,0,0,0,0,0,0,0,0,0,0
420030905000024,24,24,24,0,0,14,0,0,6,2,2
420030905000025,84,84,84,0,0,61,0,23,0,0,0
420030905000027,45,45,45,0,0,31,0,6,8,0,0
420030905000028,19,19,19,0,0,13,0,6,0,0,0
420030905000029,51,51,51,0,0,30,0,12,3,6,0
420030905000031,40,40,40,0,0,34,2,4,0,0,0
420030905000032,102,102,102,0,0,76,8,16,0,2,0
420030905000033,251,251,251,0,0,203,26,8,3,11,0
420030905000034,152,152,65,0,87,137,3,9,0,3,0
420030905000035,220,220,0,0,220,220,0,0,0,0,0
420040805000001,785,780,760,0,20,527,61,130,7,55,0
420040805000002,972,972,965,0,7,693,7,211,2,59,0
420040805000003,856,854,811,0,40,681,15,148,1,9,0
420040805000004,785,785,785,0,0,532,40,190,2,21,0
420040805000005,623,623,623,0,0,376,14,37,167,29,0
420040805000006,405,405,405,0,0,163,142,5,70,16,9
420040805000007,280,280,280,0,0,272,0,0,5,3,0
420040805000008,587,563,563,0,0,461,8,8,46,37,3
420040805000009,508,508,508,0,0,350,4,3,127,24,0
420040805000010,17,17,17,0,0,11,0,0,4,2,0
420040810000001,18,17,17,0,0,17,0,0,0,0,0
420040810000002,296,296,296,0,0,153,0,0,114,29,0
420040810000003,166,166,166,0,0,38,0,4,107,17,0
420040810000004,199,195,187,0,2,20,1,10,157,0,7
420040810000005,283,283,283,0,0,40,0,98,145,0,0
420040810000006,181,181,181,0,0,36,12,25,96,1,11
420050705000001,741,741,491,117,133,279,44,379,11,28,0
420050705000002,405,405,405,0,0,258,39,92,0,12,4
420050705000003,836,836,834,0,2,502,136,175,0,23,0
420050705000004,207,207,207,0,0,134,17,55,0,1,0
420050705000005,156,154,154,0,0,124,10,10,0,7,3
420050705000006,777,777,650,0,112,417,37,285,6,32,0
420050705000007,667,529,529,0,0,412,13,29,26,46,3
420050705000008,459,459,459,0,0,339,44,3,21,52,0
420050705000009,507,507,507,0,0,461,4,4,19,19,0
420050705000010,447,445,445,0,0,301,62,3,8,69,2
420050705000011,439,439,439,0,0,359,36,13,15,15,1
420050705000012,355,355,355,0,0,332,1,0,15,7,0
420050705000013,114,114,114,0,0,4,108,0,0,2,0
420055605000001,567,567,523,0,44,450,25,74,6,12,0
420055605000002,414,414,409,0,0,250,73,78,0,13,0
420055605000003,254,254,249,0,5,166,42,7,20,19,0
420055605000004,264,264,264,0,0,194,52,3,9,6,0
420055605000005,330,330,330,0,0,262,46,8,3,11,0
420055605000006,119,119,119,0,0,103,13,0,3,0,0
420055605000007,476,474,474,0,0,327,93,16,33,5,0
420060605000001,732,732,724,7,0,656,4,45,13,13,1
420060605000002,679,679,676,0,3,557,15,72,23,12,0
420060605000003,916,907,851,0,56,668,63,157,13,2,4
420060605000004,816,816,816,0,0,797,0,0,7,12,0
420060605000005,469,469,469,0,0,450,0,11,2,6,0
420060605000006,214,214,214,0,0,210,0,0,4,0,0
420060605000007,300,291,291,0,0,258,7,20,5,1,0
420060605000008,95,95,95,0,0,95,0,0,0,0,0
420060605000009,470,470,470,0,0,434,4,5,20,7,0
420060605000010,857,857,855,2,0,770,5,19,25,35,3
420070505000001,995,995,837,0,158,661,29,226,8,71,0
420070505000002,686,686,663,0,23,463,6,87,47,83,0
420070505000003,901,899,768,0,131,664,0,184,2,45,4
420070505000004,775,775,771,0,0,591,5,19,96,60,4
420070505000005,806,790,790,0,0,618,20,38,53,61,0
420070505000006,466,464,464,0,0,423,4,8,12,17,0
420070505000007,179,164,164,0,0,125,0,0,0,1,38
420070505000008,535,531,531,0,0,431,27,3,34,36,0
420070510000001,78,74,74,0,0,45,7,3,6,13,0
420070510000002,551,551,551,0,0,452,14,4,0,24,57
420070510000003,342,342,342,0,0,230,41,4,46,17,4
420070510000004,763,761,761,0,0,506,121,16,100,14,4
420070510000005,568,567,567,0,0,461,5,5,27,68,1
420070515000001,143,143,143,0,0,122,10,3,0,8,0
420070515000002,197,197,197,0,0,167,0,0,23,5,2
420070515000003,584,576,576,0,0,411,49,6,63,47,0
420070520000001,65,65,65,0,0,52,3,0,5,5,0
420070520000002,641,641,621,20,0,530,3,10,7,28,63
420070520000003,135,135,135,0,0,97,4,0,22,12,0
420075405000001,605,605,605,0,0,414,84,86,6,14,1
420075405000002,242,242,242,0,0,217,8,11,3,3,0
420075405000003,246,246,246,0,0,198,18,12,0,18,0
420075405000004,356,356,356,0,0,317,5,2,11,19,2
420075405000005,272,272,272,0,0,202,24,0,0,46,0
420075405000006,284,284,284,0,0,248,13,8,8,7,0
420080405000001,739,733,699,0,34,463,37,171,5,56,1
420080405000002,966,966,914,0,52,648,93,178,0,47,0
420080405000003,881,881,871,0,10,534,40,191,3,111,2
420080405000004,363,363,363,0,0,308,23,0,8,24,0
420080405000005,459,458,458,0,0,421,14,0,9,14,0
420080405000006,838,838,838,0,0,577,74,87,17,83,0
420080405000007,535,535,535,0,0,452,37,7,6,33,0
420080405000008,334,329,329,0,0,308,7,5,0,9,0
420080405000009,400,399,399,0,0,319,18,10,31,21,0
420080405000010,287,287,287,0,0,202,10,0,27,44,4
420080405000011,308,308,308,0,0,255,17,4,11,21,0
420080405000012,270,265,265,0,0,215,19,4,4,23,0
420090305000001,909,878,862,0,16,715,34,91,7,30,1
420090305000002,18,18,18,0,0,17,0,1,0,0,0
420090305000003,552,545,545,0,0,526,0,8,9,2,0
420090305000004,526,526,523,3,0,450,0,23,33,20,0
420090305000005,693,685,685,0,0,637,0,0,15,33,0
420090310000001,109,109,109,0,0,85,5,11,0,6,2
420090310000002,579,579,579,0,0,474,12,9,26,58,0
420090310000003,370,370,370,0,0,287,11,7,26,39,0
420090310000004,589,589,589,0,0,453,54,11,17,33,21
420090315000001,87,87,87,0,0,79,3,5,0,0,0
420090315000002,506,506,506,0,0,473,0,13,0,20,0
420090315000003,312,311,311,0,0,288,4,2,0,7,10
420100005000001,589,571,569,0,2,405,0,120,4,42,0
420100005000002,973,973,957,0,16,705,40,150,0,73,5
420100005000003,1160,1160,1151,0,9,903,14,127,15,101,0
420100005000004,665,663,554,0,109,473,14,146,3,26,1
420100005000005,973,973,973,0,0,937,0,31,0,5,0
420100005000006,174,174,174,0,0,150,5,0,0,19,0
420100005000007,259,259,259,0,0,240,0,0,12,7,0
420100005000008,373,373,373,0,0,315,5,8,27,18,0
420100005000009,211,211,211,0,0,159,8,5,5,30,4
420100005000010,255,255,255,0,0,223,0,0,20,12,0
420100005000011,278,278,278,0,0,218,6,16,20,14,4
420100005000012,248,248,248,0,0,196,9,4,12,27,0
420100005000013,211,211,211,0,0,143,6,8,16,38,0
420100005000014,257,257,257,0,0,211,0,1,7,38,0
420100005000015,281,281,281,0,0,248,0,7,2,24,0
420100005000016,5,0,0,0,0,0,0,0,0,0,0
420100005000018,63,63,63,0,0,56,0,0,7,0,0
420100005000019,8,0,0,0,0,0,0,0,0,0,0
420100005000020,19,19,19,0,0,13,0,0,0,6,0
420100005000021,14,0,0,0,0,0,0,0,0,0,0
420100005000022,4,0,0,0,0,0,0,0,0,0,0
420100005000024,6,0,0,0,0,0,0,0,0,0,0
420100015000001,115,115,115,0,0,88,0,1,7,19,0
420100015000002,310,310,310,0,0,282,0,0,4,24,0
420100015000003,224,224,224,0,0,222,0,2,0,0,0
420100015000004,181,181,181,0,0,155,0,0,21,5,0
420100015000005,391,391,391,0,0,341,2,8,20,20,0
420100015000006,376,376,376,0,0,323,14,0,23,16,0
420110905000001,549,549,549,0,0,450,10,47,8,26,8
420110905000002,584,584,532,0,52,415,30,101,0,38,0
420110905000003,182,182,182,0,0,133,25,9,9,6,0
420110905000004,257,257,257,0,0,232,7,3,14,0,1
420110905000005,192,192,192,0,0,150,21,0,0,21,0
420110905000006,329,329,329,0,0,271,39,7,10,2,0
420110905000007,198,198,198,0,0,174,7,4,11,2,0
420110905000008,270,270,270,0,0,247,13,0,10,0,0
420110905000009,267,267,267,0,0,221,7,0,21,18,0
420110905000010,386,386,386,0,0,342,11,9,8,13,3
420120805000001,1298,1298,981,0,317,822,4,444,16,12,0
420120805000002,1043,1043,980,0,60,834,0,204,5,0,0
420120805000003,1328,1324,1324,0,0,1072,48,154,17,33,0
420120805000004,524,516,516,0,0,501,0,2,3,7,3
420120805000005,1035,1035,1035,0,0,987,20,6,10,11,1
420120805000006,1104,1104,1104,0,0,1052,0,48,0,4,0
420120805000007,331,331,331,0,0,331,0,0,0,0,0
