Cod_setor,NM_MUNICIP,areametros
420130705000046,ARAQUARI,589953
420130705000047,ARAQUARI,25619
420130705000048,ARAQUARI,262868
420130705000049,ARAQUARI,56859
420130705000050,ARAQUARI,95981
420130705000051,ARAQUARI,14084
420130705000052,ARAQUARI,111676
420130705000053,ARAQUARI,11574572
420130705000054,ARAQUARI,9845423
420130705000055,ARAQUARI,19608802
420130705000056,ARAQUARI,360668
420130705000057,ARAQUARI,7124143
420130705000058,ARAQUARI,7276394
420130705000059,ARAQUARI,4990215
420130705000060,ARAQUARI,5111185
420130705000061,ARAQUARI,7619428
420140605000057,ARARANGUÁ,240961
420140605000058,ARARANGUÁ,76789
420140605000059,ARARANGUÁ,501625
420140605000060,ARARANGUÁ,463485
420140605000061,ARARANGUÁ,508501
420140605000062,ARARANGUÁ,145075
420140605000063,ARARANGUÁ,129640
420140605000064,ARARANGUÁ,217752
420140605000065,ARARANGUÁ,205379
420140605000066,ARARANGUÁ,204608
420140605000067,ARARANGUÁ,241545
420140605000068,ARARANGUÁ,150917
420140605000069,ARARANGUÁ,530898
420140605000070,ARARANGUÁ,596116
420200805000090,BALNEÁRIO CAMBORIÚ,540669
420200805000091,BALNEÁRIO CAMBORIÚ,3015
420200805000092,BALNEÁRIO CAMBORIÚ,139827
420200805000093,BALNEÁRIO CAMBORIÚ,13338
420200805000094,BALNEÁRIO CAMBORIÚ,61579
420200805000095,BALNEÁRIO CAMBORIÚ,59505
420200805000096,BALNEÁRIO CAMBORIÚ,62070
420200805000097,BALNEÁRIO CAMBORIÚ,64232
420200805000098,BALNEÁRIO CAMBORIÚ,87548
420200805000099,BALNEÁRIO CAMBORIÚ,48058
420200805000100,BALNEÁRIO CAMBORIÚ,313850
420200805000101,BALNEÁRIO CAMBORIÚ,1381823
420205705000002,BALNEÁRIO BARRA DO SUL,292363
420205705000003,BALNEÁRIO BARRA DO SUL,233615
420205705000004,BALNEÁRIO BARRA DO SUL,147121
420205705000005,BALNEÁRIO BARRA DO SUL,196026
420205705000006,BALNEÁRIO BARRA DO SUL,479974
420205705000007,BALNEÁRIO BARRA DO SUL,2444408
420205705000008,BALNEÁRIO BARRA DO SUL,406982
420205705000009,BALNEÁRIO BARRA DO SUL,618084
420205705000010,BALNEÁRIO BARRA DO SUL,1717427
420205705000011,BALNEÁRIO BARRA DO SUL,240084
420205705000012,BALNEÁRIO BARRA DO SUL,200045
420205705000013,BALNEÁRIO BARRA DO SUL,134105
420205705000014,BALNEÁRIO BARRA DO SUL,1424375
420210705000039,BARRA VELHA,315012
420210705000040,BARRA VELHA,142588
420210705000041,BARRA VELHA,308653
420213105000001,BELA VISTA DO TOLDO,1920072
420213105000002,BELA VISTA DO TOLDO,38076790
420213105000003,BELA VISTA DO TOLDO,37890610
420213105000004,BELA VISTA DO TOLDO,140419784
420213105000005,BELA VISTA DO TOLDO,80346473
420213105000006,BELA VISTA DO TOLDO,52802156
420213105000007,BELA VISTA DO TOLDO,18258472
420213105000008,BELA VISTA DO TOLDO,30489940
420213105000009,BELA VISTA DO TOLDO,26006362
420213105000010,BELA VISTA DO TOLDO,48532176
420213105000011,BELA VISTA DO TOLDO,21414336
420240405000009,BLUMENAU,60719
420240405000010,BLUMENAU,523256
420240405000011,BLUMENAU,524548
420240405000012,BLUMENAU,40269
420240405000013,BLUMENAU,131124
420240405000014,BLUMENAU,160936
420240405000015,BLUMENAU,457634
420240405000016,BLUMENAU,187793
420240405000028,BLUMENAU,163055
420240405000029,BLUMENAU,140276
420240405000030,BLUMENAU,202530
420240405000031,BLUMENAU,375250
420240405000032,BLUMENAU,244432
420240405000033,BLUMENAU,75292
420240405000017,BLUMENAU,102058
420240405000018,BLUMENAU,178645
420240405000019,BLUMENAU,279152
420240405000020,BLUMENAU,208872
420240405000021,BLUMENAU,147983
420240405000022,BLUMENAU,441903
420240405000023,BLUMENAU,867930
420240405000024,BLUMENAU,275724
420240405000025,BLUMENAU,43699
420240405000026,BLUMENAU,75165
420240405000027,BLUMENAU,315299
420240405000111,BLUMENAU,345486
420240405000112,BLUMENAU,128341
420240405000113,BLUMENAU,139700
420240405000114,BLUMENAU,447694
420240405000115,BLUMENAU,366083
420240405000116,BLUMENAU,75648
420240405000117,BLUMENAU,466627
420240405000118,BLUMENAU,189409
420240405000119,BLUMENAU,142395
420240405000120,BLUMENAU,66714
420240405000121,BLUMENAU,77803
420005105000001,ABDON BATISTA,1738108
420005105000002,ABDON BATISTA,35603908
420005105000003,ABDON BATISTA,81710131
420005105000004,ABDON BATISTA,70991818
420005105000005,ABDON BATISTA,45599009
420010105000001,ABELARDO LUZ,2781558
420010105000002,ABELARDO LUZ,917271
420010105000003,ABELARDO LUZ,588173
420010105000004,ABELARDO LUZ,338704
420010105000005,ABELARDO LUZ,570770
420010105000006,ABELARDO LUZ,1863690
420010105000007,ABELARDO LUZ,805858
420010105000008,ABELARDO LUZ,145767
420010105000009,ABELARDO LUZ,729638
420010105000010,ABELARDO LUZ,276330
420010105000011,ABELARDO LUZ,479527
420010105000012,ABELARDO LUZ,596037
420010105000013,ABELARDO LUZ,1268593
420010105000014,ABELARDO LUZ,855262
420010105000015,ABELARDO LUZ,957663
420010105000016,ABELARDO LUZ,100949968
420010105000017,ABELARDO LUZ,83673131
420010105000018,ABELARDO LUZ,193880255
420010105000019,ABELARDO LUZ,53324698
420010105000020,ABELARDO LUZ,27319542
420010105000021,ABELARDO LUZ,81370642
420010105000022,ABELARDO LUZ,14094529
420010105000023,ABELARDO LUZ,14135980
420010105000024,ABELARDO LUZ,9242882
420010105000025,ABELARDO LUZ,30879261
420010105000026,ABELARDO LUZ,12907423
420010105000027,ABELARDO LUZ,18771476
420010105000028,ABELARDO LUZ,10511059
420010105000029,ABELARDO LUZ,12465229
420010105000030,ABELARDO LUZ,6809502
420010105000031,ABELARDO LUZ,7991529
420010105000032,ABELARDO LUZ,12706180
420010105000033,ABELARDO LUZ,7787723
420010105000034,ABELARDO LUZ,17145380
420010105000035,ABELARDO LUZ,14539205
420010105000036,ABELARDO LUZ,21215554
420010105000037,ABELARDO LUZ,24692532
420010105000038,ABELARDO LUZ,15281160
420010105000039,ABELARDO LUZ,68728144
420010105000040,ABELARDO LUZ,41001394
420010105000041,ABELARDO LUZ,4385116
420010105000042,ABELARDO LUZ,1680605
420010105000043,ABELARDO LUZ,5967390
420010105000044,ABELARDO LUZ,3151835
420010105000045,ABELARDO LUZ,48078
420010105000046,ABELARDO LUZ,280124
420010105000047,ABELARDO LUZ,40455
420010105000048,ABELARDO LUZ,237337
420010105000049,ABELARDO LUZ,233323
420010105000050,ABELARDO LUZ,251626
420010105000051,ABELARDO LUZ,436466
420010105000052,ABELARDO LUZ,91408
420010105000053,ABELARDO LUZ,19288655
420010105000054,ABELARDO LUZ,132962
420010105000055,ABELARDO LUZ,1638584
420010105000056,ABELARDO LUZ,204030
420020005000001,AGROLÂNDIA,456225
420020005000002,AGROLÂNDIA,699505
420020005000003,AGROLÂNDIA,750234
420020005000004,AGROLÂNDIA,490925
420020005000005,AGROLÂNDIA,795377
420020005000006,AGROLÂNDIA,6938
420020005000007,AGROLÂNDIA,7525
420020005000008,AGROLÂNDIA,7843
420020005000009,AGROLÂNDIA,1671375
420020005000010,AGROLÂNDIA,1030907
420020005000011,AGROLÂNDIA,1457234
420020005000012,AGROLÂNDIA,39487414
420020005000013,AGROLÂNDIA,12371005
420020005000014,AGROLÂNDIA,19386762
420020005000015,AGROLÂNDIA,30632441
420020005000016,AGROLÂNDIA,53072220
420020005000017,AGROLÂNDIA,28500790
420020005000018,AGROLÂNDIA,508491
420020005000019,AGROLÂNDIA,456080
420020005000020,AGROLÂNDIA,379585
420020005000021,AGROLÂNDIA,15287845
420030905000001,AGRONÔMICA,335422
420030905000002,AGRONÔMICA,442122
420030905000003,AGRONÔMICA,12127
420030905000004,AGRONÔMICA,12174
420030905000005,AGRONÔMICA,129068
420030905000006,AGRONÔMICA,167128
420030905000007,AGRONÔMICA,17857316
420030905000008,AGRONÔMICA,26751883
420030905000009,AGRONÔMICA,16197334
420030905000010,AGRONÔMICA,17242548
420030905000011,AGRONÔMICA,15820846
420030905000012,AGRONÔMICA,18662997
420030905000013,AGRONÔMICA,157784
420030905000014,AGRONÔMICA,57330
420030905000015,AGRONÔMICA,32660
420030905000016,AGRONÔMICA,50288
420030905000017,AGRONÔMICA,27313
420030905000018,AGRONÔMICA,97022
420030905000019,AGRONÔMICA,35861
420030905000020,AGRONÔMICA,186373
420030905000021,AGRONÔMICA,21511
420030905000022,AGRONÔMICA,5108
420030905000023,AGRONÔMICA,2297
420030905000024,AGRONÔMICA,42781
420030905000025,AGRONÔMICA,175629
420030905000026,AGRONÔMICA,8982
420030905000027,AGRONÔMICA,147559
420030905000028,AGRONÔMICA,44061
420030905000029,AGRONÔMICA,140181
420030905000030,AGRONÔMICA,4696
420030905000031,AGRONÔMICA,42302
420030905000032,AGRONÔMICA,196083
420030905000033,AGRONÔMICA,15188672
420030905000034,AGRONÔMICA,52955
420030905000035,AGRONÔMICA,127456
420040805000001,ÁGUA DOCE,538187
420040805000002,ÁGUA DOCE,496564
420040805000003,ÁGUA DOCE,417841
420040805000004,ÁGUA DOCE,325318
420040805000005,ÁGUA DOCE,65384602
420040805000006,ÁGUA DOCE,89987998
420040805000007,ÁGUA DOCE,13846134
420040805000008,ÁGUA DOCE,56479553
420040805000009,ÁGUA DOCE,61428306
420040805000010,ÁGUA DOCE,341180
420040810000001,ÁGUA DOCE,104559
420040810000002,ÁGUA DOCE,162596227
420040810000003,ÁGUA DOCE,257112593
420040810000004,ÁGUA DOCE,281400624
420040810000005,ÁGUA DOCE,236392562
420040810000006,ÁGUA DOCE,86491299
420050705000001,ÁGUAS DE CHAPECÓ,454602
420050705000002,ÁGUAS DE CHAPECÓ,804005
420050705000003,ÁGUAS DE CHAPECÓ,411130
420050705000004,ÁGUAS DE CHAPECÓ,289225
420050705000005,ÁGUAS DE CHAPECÓ,1327328
420050705000006,ÁGUAS DE CHAPECÓ,427191
420050705000007,ÁGUAS DE CHAPECÓ,35586619
420050705000008,ÁGUAS DE CHAPECÓ,30144995
420050705000009,ÁGUAS DE CHAPECÓ,20597735
420050705000010,ÁGUAS DE CHAPECÓ,16415206
420050705000011,ÁGUAS DE CHAPECÓ,19622977
420050705000012,ÁGUAS DE CHAPECÓ,13740213
420050705000013,ÁGUAS DE CHAPECÓ,30129
420055605000001,ÁGUAS FRIAS,301069
420055605000002,ÁGUAS FRIAS,722450
420055605000003,ÁGUAS FRIAS,9826887
420055605000004,ÁGUAS FRIAS,12597090
420055605000005,ÁGUAS FRIAS,16913850
420055605000006,ÁGUAS FRIAS,8920600
420055605000007,ÁGUAS FRIAS,26860972
420060605000001,ÁGUAS MORNAS,2256229
420060605000002,ÁGUAS MORNAS,1469552
420060605000003,ÁGUAS MORNAS,5278656
420060605000004,ÁGUAS MORNAS,73033055
420060605000005,ÁGUAS MORNAS,18475974
420060605000006,ÁGUAS MORNAS,17880558
420060605000007,ÁGUAS MORNAS,5920459
420060605000008,ÁGUAS MORNAS,70198111
420060605000009,ÁGUAS MORNAS,78855132
420060605000010,ÁGUAS MORNAS,54058730
420070505000001,ALFREDO WAGNER,566745
420070505000002,ALFREDO WAGNER,380810
420070505000003,ALFREDO WAGNER,721376
420070505000004,ALFREDO WAGNER,47661302
420070505000005,ALFREDO WAGNER,145712237
420070505000006,ALFREDO WAGNER,54295543
420070505000007,ALFREDO WAGNER,43710630
420070505000008,ALFREDO WAGNER,45911428
420070510000001,ALFREDO WAGNER,1655536
420070510000002,ALFREDO WAGNER,38689625
420070510000003,ALFREDO WAGNER,26827230
420070510000004,ALFREDO WAGNER,68563427
420070510000005,ALFREDO WAGNER,57667400
420070515000001,ALFREDO WAGNER,264768
420070515000002,ALFREDO WAGNER,36975440
420070515000003,ALFREDO WAGNER,36590817
420070520000001,ALFREDO WAGNER,166698
420070520000002,ALFREDO WAGNER,96679786
420070520000003,ALFREDO WAGNER,29631280
420075405000001,ALTO BELA VISTA,713514
420075405000002,ALTO BELA VISTA,22395599
420075405000003,ALTO BELA VISTA,17842631
420075405000004,ALTO BELA VISTA,31424443
420075405000005,ALTO BELA VISTA,16941943
420075405000006,ALTO BELA VISTA,14600382
420080405000001,ANCHIETA,624281
420080405000002,ANCHIETA,568500
420080405000003,ANCHIETA,459316
420080405000004,ANCHIETA,26303271
420080405000005,ANCHIETA,29148894
420080405000006,ANCHIETA,22600378
420080405000007,ANCHIETA,27054690
420080405000008,ANCHIETA,22065003
420080405000009,ANCHIETA,27681726
420080405000010,ANCHIETA,26860959
420080405000011,ANCHIETA,23370372
420080405000012,ANCHIETA,21729311
420090305000001,ANGELINA,1387402
420090305000002,ANGELINA,14659
420090305000003,ANGELINA,61058023
420090305000004,ANGELINA,67814957
420090305000005,ANGELINA,62583488
420090310000001,ANGELINA,287728
420090310000002,ANGELINA,80405318
420090310000003,ANGELINA,43038681
420090310000004,ANGELINA,76865318
420090315000001,ANGELINA,384979
420090315000002,ANGELINA,60745200
420090315000003,ANGELINA,45503953
420100005000001,ANITA GARIBALDI,491862
420100005000002,ANITA GARIBALDI,722114
420100005000003,ANITA GARIBALDI,701388
420100005000004,ANITA GARIBALDI,424733
420100005000005,ANITA GARIBALDI,666137
420100005000006,ANITA GARIBALDI,27705225
420100005000007,ANITA GARIBALDI,32324271
420100005000008,ANITA GARIBALDI,35224225
420100005000009,ANITA GARIBALDI,27665569
420100005000010,ANITA GARIBALDI,49313894
420100005000011,ANITA GARIBALDI,40292722
420100005000012,ANITA GARIBALDI,39466136
420100005000013,ANITA GARIBALDI,33136438
420100005000014,ANITA GARIBALDI,31189898
420100005000015,ANITA GARIBALDI,31778626
420100005000016,ANITA GARIBALDI,27430
420100005000017,ANITA GARIBALDI,18243
420100005000018,ANITA GARIBALDI,169211
420100005000019,ANITA GARIBALDI,187313
420100005000020,ANITA GARIBALDI,617701
420100005000021,ANITA GARIBALDI,1739492
420100005000022,ANITA GARIBALDI,1275244
420100005000023,ANITA GARIBALDI,171034
420100005000024,ANITA GARIBALDI,62008
420100015000001,ANITA GARIBALDI,782943
420100015000002,ANITA GARIBALDI,28076207
420100015000003,ANITA GARIBALDI,23897451
420100015000004,ANITA GARIBALDI,27886686
420100015000005,ANITA GARIBALDI,84963614
420100015000006,ANITA GARIBALDI,66321014
420110905000001,ANITÁPOLIS,622764
420110905000002,ANITÁPOLIS,411676
420110905000003,ANITÁPOLIS,47860
